Dataset;ContrAvs;HVAvs;GDAvs;ContrAvc;HVAvc;GDAvc;ContrAvsc;HVAvsc;GDAvsc;ContrAs;HVAs;GDAs;ContrAc;HVAc;GDAc;ContrAsc;HVAsc;GDAsc;ContrRandom;HVRandom;GDRandom
1;0.0047;0.5666;0.0006;0;0.4129;0.0651;0.6273;0.5772;0.0003;0;0.5606;0.001;0.1226;0.5755;0.0001;0.2452;0.5771;0.0002;0;0;0.1153
1;0;0.5613;0.0011;0;0.0815;0.1231;0.3179;0.5754;0.0002;0;0.5576;0.0011;0.1188;0.5752;0.0002;0.5632;0.5776;0.0001;0;0;0.1142
1;0;0.5637;0.001;0;0.2383;0.0684;0.4579;0.5792;0.0003;0.0072;0.5627;0.001;0.1188;0.5789;0.0001;0.4159;0.5812;0.0001;0;0;0.1092
1;0;0.5624;0.0013;0;0.3335;0.0735;0.1618;0.576;0.0003;0.0016;0.5622;0.0014;0.1521;0.5766;0.0001;0.6844;0.5794;0;0;0;0.1311
1;0.0097;0.5644;0.0008;0;0.0906;0.1099;0.0272;0.5721;0.0006;0.0038;0.5622;0.0011;0.3138;0.5791;0.0001;0.6452;0.5795;0.0001;0;0;0.1285
1;0;0.564;0.0016;0;0.3637;0.0539;0.6693;0.5819;0.0002;0;0.563;0.001;0.0601;0.5785;0.0001;0.2705;0.5814;0.0001;0;0;0.118
1;0.0031;0.5617;0.001;0;0.4193;0.0755;0.2356;0.5744;0.0007;0;0.5578;0.0011;0.1829;0.5768;0.0003;0.5782;0.5788;0.0001;0;0;0.1285
1;0;0.5622;0.0014;0;0.0927;0.1431;0.7802;0.5809;0.0002;0;0.5626;0.001;0.0875;0.5766;0.0003;0.1322;0.5782;0.0001;0;0;0.0976
1;0.0227;0.5679;0.0008;0;0.0792;0.1217;0;0.5612;0.0009;0;0.5652;0.001;0.1499;0.5777;0.0001;0.8273;0.5808;0.0001;0;0;0.1218
1;0;0.5629;0.0018;0;0.3773;0.0814;0.8491;0.5815;0.0003;0;0.5613;0.0012;0.0633;0.5762;0.0002;0.0875;0.5778;0.0001;0;0;0.0882
1;0;0.5603;0.0011;0;0.0879;0.1238;0.7814;0.5786;0.0002;0;0.5627;0.001;0.0472;0.5724;0.0003;0.1713;0.5763;0.0002;0;0;0.1246
1;0;0.5576;0.0015;0;0.3209;0.0594;0.8766;0.5828;0.0001;0;0.5621;0.0013;0.0265;0.5763;0.0003;0.0967;0.5782;0.0002;0;0;0.0996
1;0;0.5603;0.0011;0;0.0681;0.1219;0.4301;0.5771;0.0003;0;0.5621;0.0013;0.1168;0.5764;0.0002;0.4529;0.5792;0.0002;0;0;0.1072
1;0;0.5608;0.0012;0;0.0762;0.1277;0.0189;0.5685;0.0006;0;0.56;0.001;0.1954;0.575;0.0002;0.7855;0.5775;0.0002;0;0;0.1401
1;0.0035;0.5646;0.0012;0;0.088;0.1119;0.3882;0.5754;0.0004;0.007;0.564;0.0006;0.2021;0.5763;0.0001;0.3989;0.5763;0.0002;0;0;0.1136
1;0;0.5645;0.0011;0;0.419;0.0672;0.1551;0.5757;0.0004;0;0.5658;0.0009;0.1862;0.5802;0.0001;0.6586;0.582;0.0001;0;0;0.1161
1;0;0.5622;0.001;0;0.4056;0.0668;0.5504;0.5789;0.0001;0;0.5583;0.0011;0.1223;0.5767;0.0001;0.3272;0.578;0.0002;0;0;0.1232
1;0.0033;0.5653;0.0009;0;0.3313;0.0522;0.6604;0.5799;0.0003;0;0.5624;0.0009;0.1064;0.5774;0.0002;0.2297;0.5791;0.0001;0;0;0.1424
1;0.002;0.5628;0.0012;0;0.2911;0.0644;0.883;0.5836;0.0003;0;0.5638;0.0012;0.0483;0.5783;0.0003;0.0665;0.5794;0.0002;0;0;0.1275
1;0.002;0.5604;0.001;0;0.2596;0.0491;0.002;0.5633;0.0008;0.0041;0.5621;0.0012;0.2889;0.5744;0.0001;0.7027;0.5749;0.0001;0;0;0.0947
1;0.0069;0.5641;0.0011;0;0.0959;0.1361;0.1048;0.576;0.0003;0;0.557;0.0018;0.1433;0.5771;0.0001;0.7447;0.5804;0;0;0;0.1071
1;0;0.5645;0.0009;0;0.3301;0.0601;0.6634;0.5808;0.0003;0;0.563;0.0011;0.0533;0.5771;0.0002;0.2831;0.5802;0.0001;0;0;0.1092
1;0;0.564;0.0012;0;0.087;0.1146;0.8054;0.5847;0.0001;0;0.5649;0.0011;0.0477;0.5798;0.0002;0.1467;0.5815;0.0001;0;0;0.1191
1;0;0.5617;0.0012;0;0.1011;0.1207;0.9024;0.5823;0;0.0037;0.5585;0.0014;0.0318;0.5763;0.0002;0.0619;0.5775;0.0003;0;0;0.1397
1;0.0041;0.5649;0.0013;0;0.0701;0.1191;0.002;0.5708;0.0004;0;0.5571;0.0017;0.2458;0.5787;0.0001;0.7479;0.5798;0.0002;0;0;0.1134
1;0;0.5658;0.001;0;0.0723;0.1242;0.2325;0.5758;0.0004;0;0.5646;0.001;0.1297;0.5788;0.0001;0.6376;0.5816;0;0;0;0.0926
1;0;0.5616;0.0011;0;0.073;0.1125;0.8963;0.5813;0.0006;0;0.5584;0.0016;0.0406;0.5762;0.0003;0.063;0.5773;0.0002;0;0;0.1196
1;0;0.5641;0.0017;0;0.3116;0.0159;0.6996;0.5801;0.0003;0;0.5577;0.0014;0.1359;0.5776;0.0001;0.1644;0.5754;0.0002;0;0;0.1058
1;0;0.5646;0.0011;0;0.1033;0.1258;0.9327;0.5845;0.0006;0;0.559;0.0018;0.0609;0.5795;0.0002;0.0063;0.5787;0.0002;0;0;0.1098
1;0.0056;0.5663;0.001;0;0.1033;0.1126;0.1377;0.5784;0.0004;0.0018;0.5662;0.0008;0.2566;0.5818;0;0.5981;0.582;0.0001;0;0;0.124
2;0.1643;0.5709;0.0087;0.2157;0.5692;0.0084;0.113;0.5687;0.0077;0.1883;0.5717;0.0089;0.1712;0.5679;0.0079;0.1472;0.5681;0.0075;0;0.2814;0.0631
2;0.2044;0.5729;0.0083;0.1132;0.5679;0.0081;0.154;0.5694;0.0078;0.1635;0.5711;0.0082;0.1446;0.5675;0.0078;0.2201;0.5725;0.0079;0;0.2193;0.0636
2;0.153;0.571;0.0087;0.2801;0.5731;0.0081;0.1042;0.5688;0.008;0.1433;0.5695;0.0089;0.1628;0.568;0.008;0.1563;0.57;0.0076;0;0.1927;0.0574
2;0.1655;0.5689;0.0087;0.1622;0.5694;0.0083;0.2218;0.5708;0.0081;0.1556;0.571;0.0084;0.1258;0.5682;0.008;0.1688;0.5689;0.0075;0;0.2451;0.0612
2;0.1717;0.5717;0.0086;0.2255;0.5703;0.0082;0.1818;0.5707;0.0076;0.1481;0.5698;0.0086;0.1313;0.5674;0.008;0.1414;0.5696;0.0078;0;0.2512;0.0616
2;0.1479;0.569;0.0083;0.2122;0.571;0.0083;0.1607;0.571;0.0078;0.1897;0.5726;0.0085;0.1575;0.5682;0.0083;0.1318;0.5706;0.0076;0;0.2625;0.0662
2;0.2;0.5711;0.0082;0.183;0.5692;0.0087;0.1457;0.5681;0.008;0.1525;0.5686;0.0084;0.1423;0.5666;0.0082;0.1762;0.5695;0.0079;0;0.2197;0.0598
2;0.1496;0.5677;0.0085;0.3025;0.5738;0.0083;0.1656;0.5695;0.008;0.1401;0.57;0.0085;0.0923;0.5655;0.0079;0.1496;0.5705;0.008;0;0.2151;0.0617
2;0.1568;0.5708;0.0083;0.1666;0.5435;0.008;0.1895;0.5709;0.0081;0.1633;0.5703;0.0085;0.1732;0.5653;0.0081;0.1503;0.5677;0.0082;0;0.1989;0.0652
2;0.174;0.5695;0.0084;0.2457;0.5708;0.0078;0.1365;0.5687;0.0078;0.1672;0.5672;0.0081;0.1092;0.5635;0.0078;0.1672;0.57;0.0081;0;0.2045;0.0599
2;0.1764;0.5711;0.0083;0.2352;0.5725;0.0079;0.1117;0.5672;0.008;0.1529;0.5712;0.0085;0.1764;0.5684;0.0081;0.147;0.5709;0.008;0;0.2355;0.0611
2;0.1411;0.5712;0.0083;0.3374;0.575;0.0079;0.1349;0.5693;0.0081;0.1165;0.5703;0.0086;0.1441;0.5699;0.008;0.1257;0.5702;0.0079;0;0.2091;0.0586
2;0.2087;0.5695;0.0086;0.1885;0.5387;0.0081;0.1548;0.569;0.0081;0.1481;0.5683;0.008;0.1818;0.5697;0.0079;0.1178;0.5684;0.008;0;0.2198;0.0608
2;0.1285;0.5691;0.0083;0.2288;0.5724;0.0078;0.2006;0.5722;0.0078;0.163;0.5718;0.0083;0.1786;0.5701;0.0078;0.1003;0.5661;0.0084;0;0.2185;0.0583
2;0.1727;0.5716;0.0084;0.3156;0.5743;0.0082;0.1395;0.5685;0.0077;0.1162;0.5698;0.0089;0.1561;0.5694;0.008;0.0996;0.57;0.0079;0;0.2156;0.0613
2;0.1448;0.5679;0.0083;0.166;0.5424;0.0079;0.1766;0.5691;0.0077;0.1766;0.571;0.0085;0.1519;0.5679;0.0078;0.1837;0.5698;0.008;0;0.1976;0.0668
2;0.1258;0.5706;0.0082;0.3639;0.5737;0.0085;0.0884;0.5676;0.0081;0.1326;0.5704;0.0085;0.102;0.5678;0.0078;0.187;0.5718;0.0078;0;0.2348;0.0646
2;0.1481;0.569;0.0086;0.1178;0.5628;0.0079;0.1515;0.5662;0.0078;0.1582;0.5707;0.0085;0.202;0.5712;0.0079;0.2222;0.5711;0.0081;0;0.2292;0.058
