Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
1;0.9746;0.5805;0.0003;0;0.4939;0.0239;0.0253;0.5651;0.0008;0;0.2122;0.0696;0;0;0.0853
1;0.9039;0.5846;0.0001;0;0.5201;0.0124;0.096;0.5758;0.0005;0;0.2345;0.0744;0;0;0.0811
1;1;0.5894;0;0;0.4861;0.0267;0;0.5718;0.0008;0;0.2274;0.0651;0;0;0.0798
1;0.9793;0.5891;0.0001;0;0.5288;0.0212;0.0206;0.5734;0.0008;0;0.2151;0.0641;0;0;0.0762
1;0.9957;0.6069;0;0;0.4987;0.021;0.0042;0.5855;0.0012;0;0.2351;0.0585;0;0;0.0726
1;0.895;0.5762;0.0005;0;0.0745;0.1293;0.1049;0.572;0.0006;0;0.2213;0.069;0;0;0.0812
1;0.967;0.5985;0;0;0.1116;0.1227;0.0329;0.5858;0.0006;0;0.2487;0.0542;0;0;0.0746
1;0.9853;0.5836;0.0002;0;0.4681;0.0335;0.0146;0.5641;0.001;0;0.219;0.0649;0;0;0.0808
1;0.9898;0.6018;0;0;0.0935;0.1177;0.0101;0.5802;0.0012;0;0.2188;0.0693;0;0.0023;0.0768
1;1;0.5876;0;0;0.4538;0.0257;0;0.568;0.0009;0;0.2251;0.0679;0;0;0.0852
1;0.9387;0.5879;0.0001;0;0.4526;0.0218;0.0612;0.5767;0.0005;0;0.2233;0.0691;0;0;0.083
1;0.9383;0.5892;0.0002;0;0.0863;0.1217;0.0616;0.5817;0.0004;0;0.2184;0.067;0;0;0.0784
1;0.9891;0.5909;0.0004;0;0.517;0.0224;0.0108;0.5715;0.0011;0;0.2391;0.0702;0;0;0.0812
1;0.9914;0.5907;0.0002;0;0.5269;0.0178;0.0085;0.5726;0.0009;0;0.2246;0.0712;0;0;0.081
1;0.9893;0.5905;0.0004;0;0.3937;0.0197;0.0106;0.5696;0.0013;0;0.2164;0.0633;0;0.0002;0.0788
1;0.9451;0.5812;0.0003;0;0.4857;0.024;0.0548;0.5718;0.0005;0;0.2254;0.0611;0;0;0.0805
2;0.125;0.5689;0.0077;0.2031;0.5694;0.0083;0.138;0.5687;0.0083;0.2656;0.5417;0.0112;0.2682;0.5417;0.0113
2;0.1722;0.5694;0.0077;0.1336;0.5679;0.008;0.1619;0.5696;0.0079;0.2647;0.5416;0.0112;0.2673;0.5416;0.0112
2;0.1007;0.5687;0.008;0.2137;0.5731;0.0081;0.1842;0.572;0.0086;0.2506;0.5417;0.0113;0.2506;0.5417;0.0112
2;0.1785;0.571;0.0081;0.1571;0.5695;0.0082;0.1666;0.5705;0.0083;0.2476;0.5418;0.0112;0.25;0.5418;0.0112
2;0.1724;0.5709;0.0076;0.18;0.5704;0.0082;0.1225;0.5697;0.0087;0.2675;0.5418;0.0113;0.2575;0.5418;0.0113
2;0.1503;0.5711;0.0078;0.1829;0.571;0.0083;0.1353;0.57;0.0086;0.2581;0.5418;0.0112;0.2731;0.5418;0.0112
2;0.1528;0.568;0.008;0.1754;0.5691;0.0087;0.1528;0.5709;0.0086;0.2556;0.5418;0.0113;0.2631;0.5418;0.0112
