Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
1;1;0.6382;0.0127;0;0.1832;0.0326;0;0.526;0.0471;0;0.2807;0.0281;0;0.0444;0.0245
1;0.743;0.6986;0.0111;0.2569;0.6606;0.0146;0;0.5551;0.0381;0;0.3548;0.0217;0;0.1201;0.0199
1;0.3383;0.678;0.0092;0.6541;0.6403;0.0127;0.0075;0.6031;0.0318;0;0.3623;0.0205;0;0.1461;0.0186
1;0.9841;0.6751;0.0109;0;0.2671;0.0223;0.0158;0.5619;0.0339;0;0.3422;0.0217;0;0.1491;0.0192
1;0.9534;0.6738;0.0111;0.0465;0.6289;0.0184;0;0.5544;0.0426;0;0.3095;0.0244;0;0.0833;0.0218
1;0.1264;0.6898;0.0101;0.8735;0.6836;0.0143;0;0.549;0.0299;0;0.3488;0.0214;0;0.1358;0.0192
1;0.7409;0.6874;0.0118;0.253;0.6572;0.0158;0.006;0.5554;0.0347;0;0.3275;0.0238;0;0.0946;0.0215
1;0.5576;0.6825;0.0115;0.4423;0.6519;0.0139;0;0.537;0.0378;0;0.3306;0.0233;0;0.1145;0.0207
1;0.114;0.6934;0.0084;0.8791;0.7074;0.0133;0.0067;0.6081;0.0317;0;0.3594;0.0205;0;0.1682;0.0192
1;0.9039;0.7063;0.0091;0.0847;0.679;0.0132;0.0112;0.6294;0.0304;0;0.3735;0.0195;0;0.1728;0.018
1;0.375;0.6923;0.0105;0.625;0.662;0.0154;0;0.5808;0.0373;0;0.3311;0.0226;0;0.1179;0.021
1;0.7234;0.6987;0.0098;0.2765;0.6939;0.0129;0;0.6052;0.0347;0;0.362;0.0205;0;0.1604;0.0188
1;0.2303;0.6977;0.0092;0.7647;0.6937;0.0134;0.0049;0.6127;0.0331;0;0.3525;0.0213;0;0.1508;0.0195
1;0.152;0.6755;0.0105;0.84;0.6811;0.0151;0.008;0.5373;0.0361;0;0.3383;0.0219;0;0.1269;0.0201
1;0.9696;0.7361;0.0086;0.0303;0.6858;0.0136;0;0.6052;0.0269;0;0.3913;0.0185;0;0.2046;0.0174
1;0.2056;0.6914;0.011;0.7943;0.6588;0.0141;0;0.6015;0.0325;0;0.3584;0.0211;0;0.1473;0.0195
1;0.3962;0.7053;0.0096;0.5974;0.6872;0.0134;0.0062;0.5766;0.0335;0;0.364;0.0204;0;0.1638;0.0184
1;0.2628;0.7199;0.0081;0.7371;0.7081;0.0121;0;0.6139;0.0266;0;0.4178;0.0179;0;0.215;0.0172
2;0.1744;0.565;0.0471;0.2656;0.5697;0.0445;0.1588;0.5617;0.0485;0.1953;0.5415;0.0612;0.2057;0.5415;0.0618
2;0.2062;0.5684;0.0465;0.257;0.5691;0.0445;0.1355;0.555;0.0473;0.2033;0.5418;0.0621;0.1977;0.5418;0.0619
2;0.2743;0.5687;0.0464;0.0324;0.5259;0.0391;0.233;0.5611;0.0473;0.23;0.5415;0.0616;0.23;0.5415;0.0622
2;0.1972;0.5671;0.0464;0.2675;0.5685;0.0446;0.181;0.5631;0.0463;0.1702;0.5418;0.0608;0.1837;0.5418;0.062
2;0.2335;0.5667;0.0457;0.2514;0.5671;0.0448;0.0928;0.5487;0.0461;0.2065;0.5418;0.0608;0.2155;0.5418;0.0616
2;0.2083;0.5697;0.0465;0.1985;0.5692;0.0449;0.1813;0.5548;0.0498;0.2034;0.5418;0.0614;0.2083;0.5418;0.0621
2;0.194;0.5635;0.0458;0.2567;0.5666;0.045;0.1402;0.5577;0.0471;0.2119;0.5415;0.0614;0.197;0.5415;0.0618
2;0.3597;0.5704;0.0457;0.0182;0.5097;0.0393;0.1493;0.5543;0.0457;0.2378;0.5418;0.0617;0.2347;0.5418;0.0614
2;0.174;0.5651;0.047;0.2363;0.5699;0.0446;0.1948;0.5636;0.0483;0.1896;0.5418;0.0617;0.2051;0.5418;0.0621
2;0.2054;0.567;0.0461;0.2575;0.5676;0.045;0.0794;0.5503;0.0446;0.2328;0.5418;0.0617;0.2246;0.5418;0.0613
2;0.1786;0.5621;0.0463;0.2708;0.5671;0.0448;0.0979;0.5518;0.0465;0.2276;0.5418;0.0608;0.2247;0.5418;0.0618
2;0.1846;0.5636;0.047;0.2755;0.5663;0.0455;0.0965;0.5585;0.0477;0.2159;0.5418;0.0619;0.2272;0.5418;0.0615
2;0.242;0.5678;0.0469;0.234;0.5656;0.0458;0.1409;0.5627;0.0475;0.1861;0.5418;0.0611;0.1968;0.5418;0.0617
2;0.2629;0.5667;0.0465;0.2232;0.5653;0.0446;0.0428;0.5406;0.0488;0.2324;0.5418;0.0611;0.2385;0.5418;0.062
2;0.1758;0.5668;0.0467;0.2664;0.5693;0.0444;0.1291;0.5577;0.0448;0.2142;0.5415;0.0608;0.2142;0.5415;0.0614
